,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard
Miedler L.,3.0,3.0,0.0,0.0,522.0,0.0,0.0,0.0
Mikrut L.,1.0,1.0,0.0,0.0,350.0,0.0,0.0,0.0
Millman J.,249.0,110.0,3.0,110.0,36.0,17.0,13.0,80.0
Millot V.,29.0,20.0,0.0,8.0,147.0,0.0,0.0,8.0
Milojevic N.,14.0,8.0,0.0,6.0,129.0,4.0,0.0,2.0
Mina G.,4.0,3.0,0.0,0.0,269.0,0.0,0.0,0.0
Minar I.,78.0,54.0,0.0,23.0,63.0,11.0,2.0,10.0
Minar J.,2.0,2.0,0.0,0.0,197.0,0.0,0.0,0.0
Mirnyi M.,92.0,51.0,0.0,36.0,25.0,8.0,8.0,20.0
Misolic F.,17.0,11.0,1.0,8.0,139.0,7.0,0.0,1.0
Mitchell B.,5.0,3.0,0.0,0.0,326.0,0.0,0.0,0.0
Mmoh M.,65.0,36.0,0.0,28.0,86.0,3.0,1.0,24.0
Mo Y.,1.0,1.0,0.0,0.0,668.0,0.0,0.0,0.0
Mochizuki S.,19.0,15.0,0.0,3.0,146.0,0.0,0.0,3.0
Molcan A.,85.0,49.0,3.0,44.0,38.0,27.0,3.0,14.0
Molleker R.,18.0,12.0,0.0,5.0,152.0,4.0,1.0,0.0
Molteni A.,2.0,2.0,0.0,0.0,280.0,0.0,0.0,0.0
Monaco J.,490.0,126.0,18.0,278.0,10.0,185.0,6.0,87.0
Monaco J. ,2.0,1.0,0.0,1.0,30.0,0.0,0.0,1.0
Monfils G.,809.0,170.0,32.0,523.0,6.0,127.0,44.0,352.0
Monfils G. ,2.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0
Montanes A.,385.0,115.0,7.0,186.0,22.0,153.0,5.0,28.0
Montanes A. ,2.0,2.0,0.0,1.0,34.0,0.0,0.0,1.0
Montcourt M.,14.0,10.0,0.0,4.0,114.0,4.0,0.0,0.0
Monteiro J.,1.0,1.0,0.0,0.0,502.0,0.0,0.0,0.0
Monteiro T.,187.0,79.0,0.0,76.0,61.0,55.0,2.0,19.0
Moodie W.,60.0,35.0,1.0,29.0,57.0,0.0,6.0,23.0
Moraing M.,3.0,3.0,0.0,1.0,253.0,1.0,0.0,0.0
Moraru G.,1.0,1.0,0.0,0.0,418.0,0.0,0.0,0.0
Moreno De Alboran N.,17.0,12.0,0.0,6.0,130.0,5.0,0.0,1.0
Moriya H.,14.0,10.0,0.0,3.0,146.0,0.0,0.0,3.0
Moro Canas A.,3.0,2.0,0.0,1.0,240.0,1.0,0.0,0.0
