Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster,cluster_description
Sakamoto P.,1.0,1.0,0.0,0.0,389.0,0.0,0.0,0.0,1,Developing Players
Sakharov G.,4.0,3.0,0.0,1.0,159.0,1.0,0.0,0.0,1,Developing Players
Salamanca C.,1.0,1.0,0.0,0.0,310.0,0.0,0.0,0.0,1,Developing Players
Salva B.,5.0,4.0,0.0,0.0,339.0,0.0,0.0,0.0,1,Developing Players
Salzenstein J.,3.0,3.0,0.0,1.0,437.0,0.0,0.0,1.0,1,Developing Players
Samper-Montana J.,2.0,2.0,0.0,0.0,216.0,0.0,0.0,0.0,1,Developing Players
Sanchez D.,7.0,5.0,0.0,3.0,116.0,3.0,0.0,0.0,1,Developing Players
Sanchez De Luna J.,2.0,2.0,0.0,0.0,304.0,0.0,0.0,0.0,1,Developing Players
Sanchez Izquierdo N.,1.0,1.0,0.0,0.0,260.0,0.0,0.0,0.0,1,Developing Players
Sanchez M.,1.0,1.0,0.0,0.0,624.0,0.0,0.0,0.0,1,Developing Players
Sanchez de Luna J.A.,1.0,1.0,0.0,0.0,494.0,0.0,0.0,0.0,1,Developing Players
Sandbichler A.,1.0,1.0,0.0,0.0,570.0,0.0,0.0,0.0,1,Developing Players
Sandgren T.,116.0,59.0,2.0,42.0,41.0,8.0,8.0,26.0,1,Developing Players
Sanguinetti D.,65.0,44.0,0.0,24.0,42.0,5.0,1.0,18.0,1,Developing Players
Santillan A.,9.0,8.0,0.0,2.0,168.0,0.0,1.0,1.0,1,Developing Players
Santoro F.,164.0,66.0,2.0,79.0,34.0,3.0,22.0,54.0,1,Developing Players
Saoudi S.,2.0,2.0,0.0,0.0,524.0,0.0,0.0,0.0,1,Developing Players
Saretta F.,19.0,13.0,0.0,6.0,83.0,6.0,0.0,0.0,1,Developing Players
Sargsian S.,3.0,3.0,0.0,0.0,391.0,0.0,0.0,0.0,1,Developing Players
Sarkissian A.,6.0,5.0,0.0,2.0,176.0,1.0,0.0,1.0,1,Developing Players
Sarmiento R.,1.0,1.0,0.0,0.0,705.0,0.0,0.0,0.0,1,Developing Players
Satral J.,3.0,3.0,0.0,1.0,226.0,0.0,0.0,1.0,1,Developing Players
Saulnier C.,32.0,28.0,0.0,12.0,48.0,0.0,0.0,12.0,1,Developing Players
Saville L.,9.0,5.0,0.0,2.0,164.0,0.0,2.0,0.0,1,Developing Players
Schalken S.,1.0,1.0,0.0,0.0,202.0,0.0,0.0,0.0,1,Developing Players
Scherrer J.C.,3.0,3.0,0.0,1.0,466.0,0.0,0.0,1.0,1,Developing Players
Schnur B.,18.0,13.0,1.0,3.0,92.0,0.0,0.0,3.0,1,Developing Players
Scholtz N.,1.0,1.0,0.0,0.0,662.0,0.0,0.0,0.0,1,Developing Players
Schoolkate T.,5.0,5.0,0.0,1.0,185.0,0.0,0.0,1.0,1,Developing Players
Schoorel T.,6.0,5.0,0.0,1.0,168.0,1.0,0.0,0.0,1,Developing Players
Schuettler R.,190.0,81.0,1.0,75.0,29.0,9.0,19.0,47.0,1,Developing Players
Schuettler R. ,1.0,1.0,0.0,0.0,85.0,0.0,0.0,0.0,1,Developing Players
Schukin Y.,27.0,20.0,0.0,11.0,141.0,11.0,0.0,0.0,1,Developing Players
Schuttler P.,1.0,1.0,0.0,0.0,350.0,0.0,0.0,0.0,1,Developing Players
Schwaerzler J.,2.0,2.0,0.0,0.0,347.0,0.0,0.0,0.0,1,Developing Players
Schwank E.,89.0,53.0,0.0,32.0,50.0,25.0,0.0,7.0,1,Developing Players
Schwartzman D.,436.0,111.0,14.0,234.0,9.0,113.0,10.0,111.0,1,Developing Players
Searle H.,2.0,2.0,0.0,0.0,539.0,0.0,0.0,0.0,1,Developing Players
Sekulic M.,1.0,1.0,0.0,0.0,68.0,0.0,0.0,0.0,1,Developing Players
Sekulic P.,3.0,3.0,0.0,1.0,298.0,0.0,0.0,1.0,1,Developing Players
Sela D.,280.0,105.0,2.0,116.0,30.0,8.0,25.0,83.0,1,Developing Players
Seppi A.,711.0,178.0,9.0,336.0,18.0,107.0,54.0,175.0,-1,Outlier
Seppi A. ,2.0,2.0,0.0,1.0,51.0,0.0,0.0,1.0,1,Developing Players
Serdarusic N.,9.0,7.0,0.0,1.0,193.0,1.0,0.0,0.0,1,Developing Players
Sergeyev I.,2.0,1.0,0.0,1.0,209.0,0.0,0.0,1.0,1,Developing Players
Serra F.,268.0,108.0,3.0,109.0,36.0,42.0,9.0,58.0,1,Developing Players
Serra F. ,2.0,2.0,0.0,1.0,71.0,0.0,0.0,1.0,1,Developing Players
Setkic A.,3.0,3.0,0.0,0.0,165.0,0.0,0.0,0.0,1,Developing Players
Seyboth Wild T.,71.0,38.0,1.0,31.0,63.0,21.0,2.0,8.0,1,Developing Players
Shane R.,1.0,1.0,0.0,0.0,1410.0,0.0,0.0,0.0,1,Developing Players
Shang J.,56.0,33.0,1.0,29.0,51.0,1.0,3.0,25.0,1,Developing Players
Shapovalov D.,336.0,96.0,7.0,183.0,10.0,33.0,19.0,131.0,1,Developing Players
Shelbayh A.,10.0,9.0,0.0,2.0,230.0,1.0,0.0,1.0,1,Developing Players
Shelton B.,117.0,49.0,3.0,66.0,13.0,9.0,6.0,51.0,1,Developing Players
Shevchenko A.,80.0,46.0,1.0,37.0,48.0,11.0,1.0,25.0,1,Developing Players
Shimabukuro S.,8.0,8.0,0.0,2.0,148.0,0.0,0.0,2.0,1,Developing Players
Shimizu Y.,1.0,1.0,0.0,0.0,451.0,0.0,0.0,0.0,1,Developing Players
Shyla Y.,1.0,1.0,0.0,0.0,366.0,0.0,0.0,0.0,1,Developing Players
Sidorenko A.,12.0,9.0,0.0,4.0,187.0,2.0,0.0,2.0,1,Developing Players
Sijsling I.,129.0,75.0,0.0,45.0,52.0,10.0,10.0,25.0,1,Developing Players
Silva D.,1.0,1.0,0.0,0.0,263.0,0.0,0.0,0.0,1,Developing Players
Silva F.,2.0,1.0,0.0,0.0,249.0,0.0,0.0,0.0,1,Developing Players
Silva F.F.,3.0,2.0,0.0,1.0,263.0,1.0,0.0,0.0,1,Developing Players
Silva J.,4.0,4.0,0.0,0.0,160.0,0.0,0.0,0.0,1,Developing Players
Simmonds P.,3.0,3.0,0.0,0.0,240.0,0.0,0.0,0.0,1,Developing Players
Simon G.,831.0,170.0,22.0,473.0,7.0,140.0,48.0,285.0,-1,Outlier
Simon G. ,3.0,1.0,0.0,2.0,12.0,0.0,0.0,2.0,1,Developing Players
Simonsson F.,1.0,1.0,0.0,0.0,674.0,0.0,0.0,0.0,1,Developing Players
Singh S.,1.0,1.0,0.0,0.0,373.0,0.0,0.0,0.0,1,Developing Players
Sinner J.,313.0,73.0,23.0,240.0,1.0,52.0,21.0,167.0,1,Developing Players
Sirianni J.,15.0,13.0,0.0,4.0,143.0,0.0,1.0,3.0,1,Developing Players
Siriluethaiwattana P.,1.0,1.0,0.0,0.0,1194.0,0.0,0.0,0.0,1,Developing Players
Sitak A.,1.0,1.0,0.0,0.0,387.0,0.0,0.0,0.0,1,Developing Players
Skatov T.,11.0,8.0,0.0,3.0,129.0,2.0,0.0,1.0,1,Developing Players
Skugor F.,26.0,23.0,0.0,7.0,146.0,4.0,0.0,3.0,1,Developing Players
Slabinsky A.,2.0,2.0,0.0,0.0,329.0,0.0,0.0,0.0,1,Developing Players
Slanar M.,3.0,2.0,0.0,1.0,232.0,0.0,0.0,1.0,1,Developing Players
Sluiter R.,40.0,33.0,1.0,15.0,84.0,5.0,4.0,6.0,1,Developing Players
Smeets R.,9.0,8.0,0.0,1.0,150.0,0.0,0.0,1.0,1,Developing Players
Smethurst D.,1.0,1.0,0.0,0.0,234.0,0.0,0.0,0.0,1,Developing Players
Smith J.P.,27.0,20.0,0.0,5.0,129.0,0.0,4.0,1.0,1,Developing Players
Smyczek T.,128.0,45.0,0.0,43.0,68.0,3.0,6.0,34.0,1,Developing Players
Snobel P.,3.0,3.0,0.0,0.0,184.0,0.0,0.0,0.0,1,Developing Players
Sock J.,305.0,65.0,6.0,167.0,8.0,30.0,15.0,122.0,1,Developing Players
Soderling R.,338.0,96.0,14.0,228.0,4.0,62.0,20.0,146.0,1,Developing Players
Soderlund C.,2.0,1.0,0.0,1.0,479.0,1.0,0.0,0.0,1,Developing Players
Soeda G.,104.0,52.0,0.0,29.0,52.0,1.0,4.0,24.0,1,Developing Players
Sonego L.,283.0,105.0,6.0,135.0,21.0,49.0,21.0,65.0,1,Developing Players
Sorensen L.,5.0,4.0,0.0,2.0,236.0,1.0,0.0,1.0,1,Developing Players
Sousa J.,430.0,135.0,12.0,182.0,28.0,76.0,14.0,92.0,1,Developing Players
Sousa P.,33.0,25.0,1.0,6.0,101.0,6.0,0.0,0.0,1,Developing Players
Souza J.,68.0,37.0,0.0,23.0,69.0,22.0,0.0,1.0,1,Developing Players
Spadea V.,155.0,68.0,1.0,62.0,42.0,7.0,12.0,43.0,1,Developing Players
Spizzirri E.,3.0,2.0,0.0,1.0,341.0,0.0,1.0,0.0,1,Developing Players
Squire H.,4.0,3.0,0.0,1.0,181.0,1.0,0.0,0.0,1,Developing Players
Srichaphan P.,90.0,48.0,1.0,46.0,35.0,0.0,3.0,43.0,1,Developing Players
Stadler S.,15.0,8.0,0.0,5.0,141.0,0.0,3.0,2.0,1,Developing Players
Stakhovsky S.,314.0,102.0,4.0,137.0,34.0,25.0,23.0,89.0,1,Developing Players
Starace P.,273.0,91.0,4.0,121.0,28.0,100.0,0.0,21.0,1,Developing Players
Statham J.,8.0,4.0,0.0,2.0,332.0,0.0,0.0,2.0,1,Developing Players
Statham R.,1.0,1.0,0.0,0.0,557.0,0.0,0.0,0.0,1,Developing Players
Stebe C-M.,2.0,2.0,0.0,1.0,177.0,0.0,0.0,1.0,1,Developing Players
Stebe C.M.,68.0,35.0,1.0,26.0,77.0,13.0,2.0,11.0,1,Developing Players
Steckley R.,1.0,1.0,0.0,0.0,583.0,0.0,0.0,0.0,1,Developing Players
Stepanek M.,1.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,1,Developing Players
Stepanek R.,434.0,112.0,10.0,247.0,11.0,51.0,28.0,168.0,1,Developing Players
Stepanek R. ,4.0,2.0,0.0,3.0,14.0,0.0,0.0,3.0,1,Developing Players
Stoppini A.,10.0,9.0,0.0,3.0,220.0,0.0,0.0,3.0,1,Developing Players
Stricker D.,38.0,16.0,0.0,19.0,90.0,4.0,4.0,11.0,1,Developing Players
Strode B.,1.0,1.0,0.0,0.0,393.0,0.0,0.0,0.0,1,Developing Players
Struff J-L.,1.0,1.0,0.0,0.0,106.0,0.0,0.0,0.0,1,Developing Players
Struff J.L.,419.0,111.0,4.0,195.0,21.0,71.0,25.0,99.0,1,Developing Players
Struvay E.,2.0,1.0,0.0,0.0,336.0,0.0,0.0,0.0,1,Developing Players
Sugita Y.,122.0,61.0,1.0,42.0,38.0,4.0,14.0,24.0,1,Developing Players
Summerer T.,6.0,5.0,0.0,0.0,168.0,0.0,0.0,0.0,1,Developing Players
Sun F.,1.0,1.0,0.0,0.0,359.0,0.0,0.0,0.0,1,Developing Players
Sun P.,3.0,2.0,0.0,0.0,557.0,0.0,0.0,0.0,1,Developing Players
Suzuki T.,10.0,5.0,0.0,5.0,216.0,0.0,0.0,5.0,1,Developing Players
Svajda Z.,22.0,17.0,0.0,6.0,102.0,0.0,0.0,6.0,1,Developing Players
Svrcina D.,5.0,5.0,0.0,2.0,167.0,0.0,0.0,2.0,1,Developing Players
Sweeny D.,6.0,5.0,0.0,2.0,273.0,0.0,0.0,2.0,1,Developing Players
Sweeting R.,87.0,39.0,1.0,31.0,65.0,8.0,2.0,21.0,1,Developing Players
Tabara M.,3.0,3.0,0.0,0.0,109.0,0.0,0.0,0.0,1,Developing Players
Taberner C.,36.0,23.0,0.0,12.0,85.0,8.0,0.0,4.0,1,Developing Players
Tabilo A.,94.0,50.0,4.0,50.0,19.0,22.0,8.0,20.0,1,Developing Players
Tahiri M.,2.0,2.0,0.0,1.0,566.0,1.0,0.0,0.0,1,Developing Players
Taino E.,2.0,1.0,0.0,1.0,255.0,0.0,0.0,1.0,1,Developing Players
Takahashi Y.,1.0,1.0,0.0,0.0,262.0,0.0,0.0,0.0,1,Developing Players
