Unnamed: 0,total_matches,total_tournaments,total_finals,total_wins,best_rank,wins_clay,wins_grass,wins_hard,cluster,cluster_description
 Hajek J.,2.0,1.0,0.0,1.0,79.0,1.0,0.0,0.0,1,Developing Players
Acasuso J.,192.0,68.0,5.0,101.0,20.0,67.0,0.0,34.0,1,Developing Players
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1,Developing Players
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,0.0,0.0,1,Developing Players
Agassi A.,37.0,17.0,3.0,26.0,6.0,0.0,2.0,24.0,1,Developing Players
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0,1,Developing Players
Aguilar J.,4.0,4.0,0.0,0.0,223.0,0.0,0.0,0.0,1,Developing Players
Ahouda A.,4.0,2.0,0.0,1.0,727.0,1.0,0.0,0.0,1,Developing Players
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,4.0,0.0,0.0,1,Developing Players
Al Ghareeb M.,4.0,3.0,0.0,0.0,352.0,0.0,0.0,0.0,1,Developing Players
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,1,Developing Players
Albot R.,222.0,107.0,1.0,86.0,39.0,20.0,8.0,58.0,1,Developing Players
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,1,Developing Players
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,72.0,24.0,91.0,1,Developing Players
Aldi F.,5.0,3.0,0.0,1.0,112.0,1.0,0.0,0.0,1,Developing Players
Almagro N.,595.0,137.0,23.0,360.0,9.0,248.0,11.0,101.0,-1,Outlier
Almagro N. ,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1,Developing Players
Altamirano C.,1.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0,1,Developing Players
Altmaier D.,120.0,70.0,0.0,41.0,47.0,23.0,5.0,13.0,1,Developing Players
Alund M.,17.0,14.0,0.0,7.0,91.0,7.0,0.0,0.0,1,Developing Players
Alvarez Varona N.,3.0,2.0,0.0,1.0,231.0,0.0,0.0,1.0,1,Developing Players
Alves M.,1.0,1.0,0.0,0.0,556.0,0.0,0.0,0.0,1,Developing Players
Alves T.,28.0,20.0,0.0,7.0,105.0,1.0,2.0,4.0,1,Developing Players
Amritraj P.,21.0,5.0,1.0,10.0,159.0,0.0,8.0,2.0,1,Developing Players
Ancic M.,178.0,67.0,8.0,118.0,9.0,17.0,16.0,85.0,1,Developing Players
Anderson A.,1.0,1.0,0.0,0.0,1564.0,0.0,0.0,0.0,1,Developing Players
Anderson K.,573.0,129.0,20.0,331.0,5.0,57.0,46.0,228.0,1,Developing Players
Anderson O.,1.0,1.0,0.0,0.0,813.0,0.0,0.0,0.0,1,Developing Players
Andreev A.,7.0,6.0,0.0,2.0,211.0,0.0,0.0,2.0,1,Developing Players
Andreev I.,325.0,116.0,6.0,167.0,19.0,81.0,8.0,78.0,1,Developing Players
Andreev I. ,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1,Developing Players
Andreozzi G.,40.0,31.0,0.0,12.0,74.0,6.0,1.0,5.0,1,Developing Players
Androic T.,2.0,2.0,0.0,0.0,294.0,0.0,0.0,0.0,1,Developing Players
Andujar P.,383.0,128.0,9.0,153.0,36.0,111.0,3.0,39.0,1,Developing Players
Aragone J.,2.0,2.0,0.0,0.0,289.0,0.0,0.0,0.0,1,Developing Players
Aragone J.C.,1.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,1,Developing Players
Aragone JC,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,1,Developing Players
Aranguren J.M.,2.0,2.0,0.0,0.0,257.0,0.0,0.0,0.0,1,Developing Players
Arevalo M.,2.0,2.0,0.0,0.0,145.0,0.0,0.0,0.0,1,Developing Players
Arguello F.,16.0,11.0,0.0,1.0,107.0,1.0,0.0,0.0,1,Developing Players
Armando H.,15.0,12.0,0.0,5.0,167.0,5.0,0.0,0.0,1,Developing Players
Arnaboldi A.,14.0,10.0,0.0,4.0,165.0,4.0,0.0,0.0,1,Developing Players
Arnaldi M.,79.0,41.0,0.0,40.0,30.0,16.0,1.0,23.0,1,Developing Players
Arthurs W.,31.0,21.0,0.0,14.0,77.0,0.0,3.0,11.0,1,Developing Players
Artunedo Martinavarro A.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,1,Developing Players
Arvidsson I.,1.0,1.0,0.0,0.0,507.0,0.0,0.0,0.0,1,Developing Players
Ascione T.,33.0,19.0,0.0,7.0,82.0,3.0,0.0,4.0,1,Developing Players
Atmane T.,12.0,10.0,0.0,3.0,121.0,1.0,0.0,2.0,1,Developing Players
Auckland J.,2.0,1.0,0.0,1.0,414.0,0.0,0.0,1.0,1,Developing Players
Auger-Aliassime F.,321.0,104.0,15.0,189.0,6.0,42.0,21.0,126.0,1,Developing Players
Authom M.,2.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,1,Developing Players
Avidzba A.,2.0,1.0,0.0,1.0,498.0,0.0,0.0,1.0,1,Developing Players
Awadhy O.,1.0,1.0,0.0,0.0,1112.0,0.0,0.0,0.0,1,Developing Players
Azzaro L.,3.0,3.0,0.0,0.0,295.0,0.0,0.0,0.0,1,Developing Players
Bachinger M.,81.0,49.0,1.0,30.0,86.0,10.0,2.0,18.0,1,Developing Players
Baez S.,157.0,69.0,8.0,82.0,4.0,63.0,3.0,16.0,1,Developing Players
Baghdatis M.,544.0,145.0,13.0,304.0,8.0,27.0,48.0,229.0,1,Developing Players
Bagnis F.,124.0,51.0,2.0,43.0,55.0,35.0,0.0,8.0,1,Developing Players
Bahrouzyan O.,1.0,1.0,0.0,0.0,808.0,0.0,0.0,0.0,1,Developing Players
Bai Y.,8.0,6.0,0.0,2.0,241.0,0.0,0.0,2.0,1,Developing Players
Bailly G.,2.0,1.0,0.0,0.0,869.0,0.0,0.0,0.0,1,Developing Players
Baker B.,45.0,28.0,1.0,18.0,56.0,5.0,4.0,9.0,1,Developing Players
Baker J.,19.0,11.0,0.0,3.0,200.0,0.0,3.0,0.0,1,Developing Players
Balazs A.,32.0,18.0,1.0,16.0,78.0,16.0,0.0,0.0,1,Developing Players
Baldi F.,3.0,3.0,0.0,0.0,149.0,0.0,0.0,0.0,1,Developing Players
Ball C.,18.0,11.0,1.0,7.0,131.0,1.0,0.0,6.0,1,Developing Players
Balleret B.,10.0,4.0,0.0,2.0,234.0,1.0,0.0,1.0,1,Developing Players
Baluda V.,1.0,1.0,0.0,0.0,466.0,0.0,0.0,0.0,1,Developing Players
Bangoura S.,1.0,1.0,0.0,0.0,313.0,0.0,0.0,0.0,1,Developing Players
Barranco Cosano J.,1.0,1.0,0.0,0.0,254.0,0.0,0.0,0.0,1,Developing Players
Barrere G.,101.0,45.0,0.0,38.0,55.0,10.0,6.0,22.0,1,Developing Players
Barrientos N.,3.0,2.0,0.0,0.0,293.0,0.0,0.0,0.0,1,Developing Players
Barrios M.,15.0,9.0,0.0,5.0,120.0,4.0,1.0,0.0,1,Developing Players
Barrios Vera M.T.,2.0,1.0,0.0,1.0,300.0,1.0,0.0,0.0,1,Developing Players
Barton M.,8.0,5.0,0.0,4.0,248.0,1.0,1.0,2.0,1,Developing Players
Basic M.,47.0,30.0,1.0,19.0,75.0,4.0,2.0,13.0,1,Developing Players
Basilashvili N.,286.0,100.0,9.0,131.0,16.0,40.0,15.0,76.0,1,Developing Players
Basso A.,1.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0,1,Developing Players
Bastl G.,33.0,19.0,0.0,10.0,129.0,0.0,0.0,10.0,1,Developing Players
Bautista Agut R.,414.0,102.0,15.0,250.0,10.0,63.0,35.0,152.0,1,Developing Players
Bautista R.,211.0,69.0,7.0,128.0,14.0,32.0,13.0,83.0,1,Developing Players
Bautista R. ,1.0,1.0,0.0,0.0,315.0,0.0,0.0,0.0,1,Developing Players
Beck A.,94.0,46.0,1.0,36.0,37.0,16.0,7.0,13.0,1,Developing Players
Beck A. ,1.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,1,Developing Players
Beck K.,61.0,42.0,0.0,18.0,39.0,0.0,4.0,14.0,1,Developing Players
Becker B.,356.0,129.0,3.0,144.0,39.0,11.0,35.0,98.0,1,Developing Players
Becker B. ,1.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,1,Developing Players
Bedene A.,272.0,108.0,4.0,123.0,43.0,57.0,13.0,53.0,1,Developing Players
Bega A.,1.0,1.0,0.0,0.0,351.0,0.0,0.0,0.0,1,Developing Players
Behrend T.,26.0,23.0,0.0,8.0,84.0,7.0,0.0,1.0,1,Developing Players
Belic L.,3.0,2.0,0.0,0.0,766.0,0.0,0.0,0.0,1,Developing Players
Bellier A.,9.0,6.0,0.0,4.0,303.0,0.0,3.0,1.0,1,Developing Players
Bellotti R.,1.0,1.0,0.0,0.0,204.0,0.0,0.0,0.0,1,Developing Players
Bellucci M.,14.0,14.0,0.0,5.0,101.0,0.0,0.0,5.0,1,Developing Players
Bellucci T.,367.0,110.0,8.0,169.0,22.0,107.0,6.0,56.0,1,Developing Players
Belyaev I.,1.0,1.0,0.0,0.0,334.0,0.0,0.0,0.0,1,Developing Players
Bemelmans R.,70.0,38.0,0.0,21.0,95.0,2.0,6.0,13.0,1,Developing Players
Benchetrit E.,9.0,6.0,0.0,1.0,217.0,1.0,0.0,0.0,1,Developing Players
Benneteau J.,482.0,120.0,10.0,236.0,25.0,36.0,33.0,167.0,1,Developing Players
Benneteau J. ,1.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,1,Developing Players
Berankis R.,239.0,101.0,2.0,97.0,54.0,9.0,4.0,84.0,1,Developing Players
Berdych T.,831.0,117.0,31.0,551.0,4.0,116.0,62.0,373.0,2,Top Players
Berdych T. ,2.0,1.0,0.0,1.0,19.0,0.0,0.0,1.0,1,Developing Players
Bergs Z.,43.0,25.0,0.0,16.0,61.0,6.0,0.0,10.0,1,Developing Players
Berlocq C.,294.0,120.0,3.0,120.0,37.0,91.0,5.0,24.0,1,Developing Players
Berrer M.,214.0,93.0,2.0,79.0,43.0,15.0,7.0,57.0,1,Developing Players
Berrettini J.,1.0,1.0,0.0,0.0,842.0,0.0,0.0,0.0,1,Developing Players
Berrettini M.,252.0,79.0,16.0,168.0,6.0,62.0,41.0,65.0,-1,Outlier
Berrettini M. ,3.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,1,Developing Players
Bester P.,5.0,4.0,0.0,0.0,705.0,0.0,0.0,0.0,1,Developing Players
Betov S.,1.0,1.0,0.0,0.0,514.0,0.0,0.0,0.0,1,Developing Players
Bhambri Y.,34.0,22.0,0.0,11.0,85.0,0.0,0.0,11.0,1,Developing Players
Biryukov M.,2.0,2.0,0.0,0.0,310.0,0.0,0.0,0.0,1,Developing Players
Bjorkman J.,103.0,53.0,2.0,47.0,30.0,5.0,17.0,25.0,1,Developing Players
Blake J.,376.0,97.0,20.0,231.0,5.0,23.0,17.0,191.0,1,Developing Players
Blake J. ,1.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,1,Developing Players
Blancaneaux G.,6.0,6.0,0.0,0.0,139.0,0.0,0.0,0.0,1,Developing Players
Blanch D.,2.0,2.0,0.0,0.0,652.0,0.0,0.0,0.0,1,Developing Players
Blanch U.,1.0,1.0,0.0,0.0,244.0,0.0,0.0,0.0,1,Developing Players
Blanchet U.,3.0,2.0,0.0,1.0,161.0,1.0,0.0,0.0,1,Developing Players
Blanco G.,3.0,3.0,0.0,1.0,292.0,1.0,0.0,0.0,1,Developing Players
Blockx A.,2.0,2.0,0.0,0.0,231.0,0.0,0.0,0.0,1,Developing Players
Bloomfield R.,13.0,7.0,0.0,3.0,194.0,0.0,3.0,0.0,1,Developing Players
Blumberg W.,1.0,1.0,0.0,0.0,773.0,0.0,0.0,0.0,1,Developing Players
Bogaerts R.,1.0,1.0,0.0,0.0,1149.0,0.0,0.0,0.0,1,Developing Players
Bogdanovic A.,24.0,13.0,0.0,7.0,108.0,0.0,6.0,1.0,1,Developing Players
Bogomolov A.,117.0,62.0,0.0,49.0,33.0,0.0,8.0,41.0,1,Developing Players
Bohli S.,18.0,14.0,0.0,2.0,133.0,1.0,0.0,1.0,1,Developing Players
Bohli S. ,1.0,1.0,0.0,0.0,148.0,0.0,0.0,0.0,1,Developing Players
Bolelli S.,255.0,103.0,1.0,108.0,37.0,48.0,15.0,45.0,1,Developing Players
Bolelli S. ,1.0,1.0,0.0,0.0,94.0,0.0,0.0,0.0,1,Developing Players
Bolt A.,47.0,26.0,0.0,16.0,125.0,0.0,4.0,12.0,1,Developing Players
Bonadio R.,3.0,3.0,0.0,1.0,181.0,1.0,0.0,0.0,1,Developing Players
Bonzi B.,94.0,48.0,3.0,43.0,42.0,4.0,8.0,31.0,1,Developing Players
Bopanna R.,18.0,13.0,0.0,5.0,251.0,0.0,3.0,2.0,1,Developing Players
Borg L.,7.0,5.0,0.0,1.0,359.0,1.0,0.0,0.0,1,Developing Players
Borges N.,82.0,47.0,1.0,35.0,33.0,15.0,0.0,20.0,1,Developing Players
Borvanov R.,1.0,1.0,0.0,0.0,357.0,0.0,0.0,0.0,1,Developing Players
Bossel A.,2.0,2.0,0.0,0.0,402.0,0.0,0.0,0.0,1,Developing Players
Bourchier H.,2.0,1.0,0.0,1.0,324.0,0.0,0.0,1.0,1,Developing Players
Bourgeois L.,1.0,1.0,0.0,0.0,369.0,0.0,0.0,0.0,1,Developing Players
Bourgue M.,6.0,4.0,0.0,1.0,156.0,1.0,0.0,0.0,1,Developing Players
Bowles C.,1.0,1.0,0.0,0.0,1401.0,0.0,0.0,0.0,1,Developing Players
Bozoljac I.,24.0,16.0,0.0,7.0,126.0,2.0,2.0,3.0,1,Developing Players
Bracciali D.,68.0,48.0,1.0,27.0,53.0,9.0,5.0,13.0,1,Developing Players
Brancaccio R.,1.0,1.0,0.0,0.0,336.0,0.0,0.0,0.0,1,Developing Players
Brands D.,147.0,73.0,0.0,55.0,52.0,19.0,6.0,30.0,1,Developing Players
Britton D.,2.0,2.0,0.0,0.0,1370.0,0.0,0.0,0.0,1,Developing Players
Brizzi A.,1.0,1.0,0.0,0.0,273.0,0.0,0.0,0.0,1,Developing Players
Broady L.,51.0,30.0,0.0,19.0,108.0,0.0,9.0,10.0,1,Developing Players
Brooksby J.,76.0,38.0,3.0,43.0,34.0,2.0,7.0,34.0,1,Developing Players
Broom C.,2.0,2.0,0.0,0.0,245.0,0.0,0.0,0.0,1,Developing Players
Brouwer G.,26.0,17.0,0.0,12.0,116.0,5.0,3.0,4.0,1,Developing Players
Brown D.,155.0,61.0,0.0,62.0,66.0,21.0,18.0,23.0,1,Developing Players
Brugues-Davi A.,4.0,3.0,0.0,1.0,172.0,0.0,0.0,1.0,1,Developing Players
Bryde T.,1.0,1.0,0.0,0.0,1164.0,0.0,0.0,0.0,1,Developing Players
Brzezicki J.P.,21.0,16.0,0.0,6.0,99.0,6.0,0.0,0.0,1,Developing Players
Bu Y.,14.0,9.0,0.0,8.0,69.0,0.0,0.0,8.0,1,Developing Players
Bubka S.,15.0,12.0,0.0,4.0,148.0,0.0,1.0,3.0,1,Developing Players
Bublik A.,267.0,91.0,10.0,135.0,17.0,19.0,31.0,85.0,1,Developing Players
Buchanan C.,2.0,2.0,0.0,0.0,172.0,0.0,0.0,0.0,1,Developing Players
Burgsmuller L.,20.0,16.0,0.0,5.0,85.0,0.0,0.0,5.0,1,Developing Players
Burniol G.,1.0,1.0,0.0,0.0,505.0,0.0,0.0,0.0,1,Developing Players
Burquier G.,1.0,1.0,0.0,0.0,205.0,0.0,0.0,0.0,1,Developing Players
Burruchaga R.,4.0,4.0,0.0,1.0,159.0,1.0,0.0,0.0,1,Developing Players
Cabal J.S.,1.0,1.0,0.0,0.0,257.0,0.0,0.0,0.0,1,Developing Players
Cachin P.,70.0,40.0,1.0,24.0,54.0,19.0,0.0,5.0,1,Developing Players
Cacic N.,2.0,1.0,0.0,1.0,761.0,1.0,0.0,0.0,1,Developing Players
Cakl T.,8.0,6.0,0.0,1.0,161.0,0.0,0.0,1.0,1,Developing Players
Calatrava A.,9.0,7.0,0.0,2.0,130.0,1.0,0.0,1.0,1,Developing Players
Calleri A.,157.0,68.0,3.0,78.0,26.0,49.0,3.0,26.0,1,Developing Players
Canas G.,112.0,56.0,3.0,61.0,14.0,30.0,7.0,24.0,1,Developing Players
Capdeville P.,95.0,49.0,0.0,33.0,76.0,11.0,2.0,20.0,1,Developing Players
Carballes Baena R.,253.0,93.0,3.0,113.0,51.0,81.0,4.0,28.0,1,Developing Players
Carlsen K.,46.0,32.0,0.0,18.0,53.0,0.0,0.0,18.0,1,Developing Players
Carraz G.,6.0,5.0,0.0,1.0,125.0,0.0,0.0,1.0,1,Developing Players
Carreno Busta P.,346.0,108.0,11.0,210.0,10.0,78.0,6.0,126.0,1,Developing Players
Carreno-Busta P.,104.0,59.0,1.0,39.0,49.0,28.0,0.0,11.0,1,Developing Players
Caruana L.,1.0,1.0,0.0,0.0,397.0,0.0,0.0,0.0,1,Developing Players
Caruso S.,62.0,41.0,0.0,19.0,76.0,8.0,0.0,11.0,1,Developing Players
Casanova H.,1.0,1.0,0.0,0.0,321.0,0.0,0.0,0.0,1,Developing Players
Catarina L.,4.0,2.0,0.0,0.0,554.0,0.0,0.0,0.0,1,Developing Players
Cazaux A.,28.0,18.0,0.0,11.0,75.0,1.0,1.0,9.0,1,Developing Players
Cecchinato M.,200.0,83.0,5.0,74.0,16.0,62.0,2.0,10.0,1,Developing Players
Celikbilek A.,9.0,6.0,0.0,4.0,230.0,0.0,1.0,3.0,1,Developing Players
Cermak F.,6.0,4.0,0.0,3.0,413.0,3.0,0.0,0.0,1,Developing Players
Cerundolo F.,165.0,64.0,5.0,87.0,19.0,53.0,7.0,27.0,1,Developing Players
Cerundolo J.M.,37.0,21.0,1.0,16.0,79.0,9.0,0.0,7.0,1,Developing Players
Cervantes I.,49.0,34.0,0.0,17.0,56.0,12.0,1.0,4.0,1,Developing Players
Cervenak P.,9.0,5.0,0.0,5.0,204.0,5.0,0.0,0.0,1,Developing Players
Chadaj A.,2.0,2.0,0.0,1.0,230.0,1.0,0.0,0.0,1,Developing Players
Chaen T.,1.0,1.0,0.0,0.0,625.0,0.0,0.0,0.0,1,Developing Players
Chaki R.,1.0,1.0,0.0,0.0,482.0,0.0,0.0,0.0,1,Developing Players
Chappell N.,2.0,2.0,0.0,0.0,432.0,0.0,0.0,0.0,1,Developing Players
Chardy J.,571.0,154.0,3.0,275.0,25.0,99.0,28.0,148.0,1,Developing Players
Chardy J. ,2.0,2.0,0.0,1.0,31.0,0.0,0.0,1.0,1,Developing Players
Chela J.,2.0,2.0,0.0,1.0,38.0,1.0,0.0,0.0,1,Developing Players
Chela J.I.,286.0,94.0,6.0,143.0,16.0,89.0,2.0,52.0,1,Developing Players
Chen T.,3.0,3.0,0.0,0.0,282.0,0.0,0.0,0.0,1,Developing Players
Chidekh C.,1.0,1.0,0.0,0.0,434.0,0.0,0.0,0.0,1,Developing Players
Childs L.,1.0,1.0,0.0,0.0,408.0,0.0,0.0,0.0,1,Developing Players
Chiudinelli M.,108.0,51.0,0.0,36.0,53.0,7.0,5.0,24.0,1,Developing Players
Chiudinelli M. ,4.0,2.0,0.0,3.0,73.0,0.0,0.0,3.0,1,Developing Players
Choinski J.,9.0,8.0,0.0,2.0,151.0,1.0,1.0,0.0,1,Developing Players
Chrysochos P.,1.0,1.0,0.0,0.0,1360.0,0.0,0.0,0.0,1,Developing Players
Chung H.,133.0,61.0,0.0,68.0,22.0,16.0,1.0,51.0,1,Developing Players
Chung Y.,2.0,2.0,0.0,0.0,322.0,0.0,0.0,0.0,1,Developing Players
Chvojka E.,2.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,1,Developing Players
Cilic M.,839.0,150.0,36.0,527.0,3.0,117.0,74.0,336.0,2,Top Players
Cilic M. ,3.0,1.0,0.0,2.0,13.0,0.0,0.0,2.0,1,Developing Players
Ciorcila P.,1.0,1.0,0.0,0.0,589.0,0.0,0.0,0.0,1,Developing Players
Cipolla F.,92.0,57.0,0.0,27.0,70.0,10.0,0.0,17.0,1,Developing Players
Clarke J.,13.0,7.0,0.0,2.0,156.0,0.0,2.0,0.0,1,Developing Players
Clayton A.,1.0,1.0,0.0,0.0,1281.0,0.0,0.0,0.0,1,Developing Players
Clemens T.,4.0,3.0,0.0,2.0,265.0,0.0,0.0,2.0,1,Developing Players
Clement A.,230.0,82.0,4.0,103.0,34.0,10.0,21.0,72.0,1,Developing Players
Clezar G.,11.0,4.0,0.0,1.0,163.0,1.0,0.0,0.0,1,Developing Players
Cobolli F.,72.0,44.0,1.0,38.0,30.0,14.0,3.0,21.0,1,Developing Players
Collarini A.,2.0,2.0,0.0,0.0,264.0,0.0,0.0,0.0,1,Developing Players
Collignon R.,1.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0,1,Developing Players
Comesana F.,11.0,9.0,0.0,4.0,100.0,0.0,2.0,2.0,1,Developing Players
Copil M.,127.0,60.0,2.0,47.0,56.0,7.0,6.0,34.0,1,Developing Players
Coppejans K.,13.0,11.0,0.0,1.0,158.0,0.0,0.0,1.0,1,Developing Players
Coria F.,118.0,53.0,2.0,48.0,49.0,43.0,0.0,5.0,1,Developing Players
Coria G.,56.0,33.0,2.0,30.0,6.0,16.0,0.0,14.0,1,Developing Players
Coric B.,365.0,107.0,9.0,192.0,12.0,59.0,11.0,122.0,1,Developing Players
Corrie E.,1.0,1.0,0.0,0.0,330.0,0.0,0.0,0.0,1,Developing Players
Costa A.,11.0,9.0,0.0,4.0,100.0,4.0,0.0,0.0,1,Developing Players
Couacaud E.,11.0,11.0,0.0,2.0,177.0,1.0,0.0,1.0,1,Developing Players
Cox D.,5.0,4.0,0.0,0.0,272.0,0.0,0.0,0.0,1,Developing Players
Cressy M.,100.0,57.0,4.0,43.0,32.0,1.0,13.0,29.0,1,Developing Players
Crivoi V.,40.0,26.0,0.0,12.0,79.0,9.0,1.0,2.0,1,Developing Players
Cruciat A.,2.0,2.0,0.0,0.0,183.0,0.0,0.0,0.0,1,Developing Players
Crugnola M.,3.0,3.0,0.0,0.0,237.0,0.0,0.0,0.0,1,Developing Players
Cuadrado C.,5.0,3.0,0.0,3.0,308.0,3.0,0.0,0.0,1,Developing Players
Cuevas P.,408.0,120.0,10.0,203.0,20.0,145.0,7.0,51.0,1,Developing Players
Cuevas P. ,2.0,1.0,0.0,1.0,50.0,0.0,0.0,1.0,1,Developing Players
Cui J.,1.0,1.0,0.0,0.0,583.0,0.0,0.0,0.0,1,Developing Players
Dabul B.,40.0,28.0,0.0,13.0,84.0,6.0,2.0,5.0,1,Developing Players
Damm M.,2.0,2.0,0.0,1.0,204.0,0.0,0.0,1.0,1,Developing Players
Dancevic F.,123.0,49.0,2.0,48.0,67.0,0.0,19.0,29.0,1,Developing Players
Daniel M.,71.0,43.0,0.0,18.0,73.0,16.0,1.0,1.0,1,Developing Players
Daniel T.,214.0,105.0,2.0,75.0,63.0,34.0,0.0,41.0,1,Developing Players
Darcis S.,186.0,82.0,3.0,82.0,38.0,24.0,12.0,46.0,1,Developing Players
Darderi L.,50.0,36.0,1.0,24.0,32.0,20.0,2.0,2.0,1,Developing Players
Dasnieres de Veigy J.,6.0,4.0,0.0,1.0,227.0,1.0,0.0,0.0,1,Developing Players
Davidovich Fokina A.,214.0,76.0,1.0,107.0,21.0,40.0,6.0,61.0,1,Developing Players
Davletshin V.,1.0,1.0,0.0,0.0,620.0,0.0,0.0,0.0,1,Developing Players
Davydenko N.,529.0,110.0,21.0,344.0,3.0,109.0,8.0,227.0,4,Developing Players
Davydenko N. ,4.0,2.0,0.0,3.0,7.0,0.0,0.0,3.0,1,Developing Players
Davydenko P.,3.0,2.0,0.0,1.0,658.0,1.0,0.0,0.0,1,Developing Players
De Bakker T.,127.0,70.0,0.0,50.0,43.0,21.0,6.0,23.0,1,Developing Players
De Chaunac S.,10.0,6.0,0.0,5.0,144.0,0.0,0.0,5.0,1,Developing Players
De Greef A.,8.0,6.0,0.0,3.0,127.0,2.0,0.0,1.0,1,Developing Players
De Heart R.,2.0,1.0,0.0,1.0,261.0,0.0,0.0,1.0,1,Developing Players
De Jong J.,10.0,10.0,0.0,2.0,141.0,1.0,0.0,1.0,1,Developing Players
De Loore J.,2.0,2.0,0.0,0.0,174.0,0.0,0.0,0.0,1,Developing Players
De Minaur A.,344.0,89.0,16.0,209.0,7.0,26.0,32.0,151.0,1,Developing Players
De Paula F.,1.0,1.0,0.0,0.0,458.0,0.0,0.0,0.0,1,Developing Players
De Schepper K.,85.0,44.0,0.0,24.0,62.0,5.0,7.0,12.0,1,Developing Players
De Voest R.,26.0,18.0,0.0,6.0,122.0,0.0,1.0,5.0,1,Developing Players
Decoud S.,8.0,6.0,0.0,4.0,173.0,4.0,0.0,0.0,1,Developing Players
Deen Heshaam A.,1.0,1.0,0.0,0.0,1557.0,0.0,0.0,0.0,1,Developing Players
Deheart R.,2.0,2.0,0.0,0.0,226.0,0.0,0.0,0.0,1,Developing Players
Del Bonis F.,13.0,9.0,0.0,6.0,146.0,6.0,0.0,0.0,1,Developing Players
Del Potro J.,3.0,2.0,0.0,2.0,75.0,2.0,0.0,0.0,1,Developing Players
Del Potro J. M.,2.0,2.0,0.0,1.0,30.0,1.0,0.0,0.0,1,Developing Players
Del Potro J.M.,551.0,114.0,34.0,398.0,3.0,71.0,35.0,292.0,3,Top Players
Delbonis F.,334.0,113.0,4.0,147.0,33.0,122.0,0.0,25.0,1,Developing Players
Delgado J.,3.0,3.0,0.0,1.0,240.0,0.0,1.0,0.0,1,Developing Players
Delgado R.,18.0,16.0,0.0,5.0,103.0,0.0,1.0,4.0,1,Developing Players
Delic A.,59.0,37.0,0.0,20.0,66.0,1.0,2.0,17.0,1,Developing Players
Delic M.,10.0,8.0,0.0,2.0,181.0,2.0,0.0,0.0,1,Developing Players
Dell'Acqua M.,2.0,1.0,0.0,1.0,472.0,0.0,1.0,0.0,1,Developing Players
Dellien H.,73.0,38.0,0.0,21.0,76.0,21.0,0.0,0.0,1,Developing Players
Demoliner M.,2.0,2.0,0.0,1.0,1184.0,1.0,0.0,0.0,1,Developing Players
Dent T.,79.0,46.0,0.0,35.0,21.0,2.0,3.0,30.0,1,Developing Players
Desein N.,3.0,3.0,0.0,0.0,170.0,0.0,0.0,0.0,1,Developing Players
Dev Varman S.,3.0,2.0,0.0,0.0,1035.0,0.0,0.0,0.0,1,Developing Players
Devilder N.,60.0,37.0,0.0,16.0,60.0,11.0,2.0,3.0,1,Developing Players
Devvarman S.,109.0,52.0,1.0,44.0,65.0,6.0,2.0,36.0,1,Developing Players
Di Mauro A.,1.0,1.0,0.0,0.0,257.0,0.0,0.0,0.0,1,Developing Players
Diallo G.,18.0,11.0,1.0,7.0,105.0,0.0,0.0,7.0,1,Developing Players
Diaz Acosta F.,40.0,26.0,1.0,18.0,52.0,16.0,0.0,2.0,1,Developing Players
Diez S.,8.0,8.0,0.0,1.0,192.0,0.0,0.0,1.0,1,Developing Players
Dimitrov G.,707.0,115.0,21.0,431.0,3.0,94.0,44.0,293.0,3,Top Players
Djere L.,267.0,104.0,5.0,129.0,32.0,81.0,6.0,42.0,1,Developing Players
Djokovic M.,3.0,3.0,0.0,0.0,869.0,0.0,0.0,0.0,1,Developing Players
Djokovic N.,1201.0,98.0,136.0,1016.0,1.0,261.0,113.0,642.0,-1,Outlier
Djokovic N. ,8.0,3.0,1.0,6.0,2.0,0.0,0.0,6.0,1,Developing Players
Djuric B.,1.0,1.0,0.0,0.0,781.0,0.0,0.0,0.0,1,Developing Players
