,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
Edmund K.,224.0,78.0,3.0,109.0,14.0,3354.0,2.5688073394495414,2.0,155.05949892694485,23.0,11.0,75.0,44.0,19.0,23.0,0.0,0.0,0.0,23.0,0.0,13.0,9.0,6.0,8.0,14.0,8.0,8.0,17.0,3.0,23.0,0.0,0.0,54.0,31.0,9.0,1.0,9.0,0.0,3.0,2.0,0.48660714285714285,0.013392857142857142
Ehrat S.,3.0,2.0,0.0,0.0,427.0,0.0,0.0,0.0,15.556349186104045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eitzinger R.,9.0,7.0,0.0,3.0,205.0,651.0,2.3333333333333335,0.0,103.4520823054487,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
El Aarej M.,7.0,2.0,0.0,1.0,418.0,0.0,2.0,0.0,64.29385662720817,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
El Amrani R.,6.0,3.0,0.0,2.0,286.0,2.0,3.0,0.0,202.89085735932017,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
El Aynaoui Y.,259.0,90.0,10.0,150.0,15.0,3060.0,2.6466666666666665,8.0,109.84641872538472,73.0,9.0,68.0,0.0,0.0,28.0,79.0,23.0,20.0,0.0,0.0,18.0,8.0,8.0,29.0,18.0,9.0,17.0,20.0,6.0,10.0,1.0,6.0,57.0,45.0,11.0,5.0,18.0,0.0,10.0,4.0,0.5791505791505791,0.03861003861003861
Eleskovic E.,9.0,6.0,0.0,2.0,543.0,735.0,2.0,0.0,123.82043450093364,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
Elgin M.,11.0,3.0,0.0,2.0,145.0,371.0,2.0,0.0,244.93019413702348,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
Elias G.,64.0,41.0,0.0,22.0,61.0,1756.0,2.409090909090909,1.0,97.83900266943522,19.0,0.0,3.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,5.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,13.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.34375,0.0
Ellwood B.,1.0,1.0,0.0,0.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
